,,test_acc,test_acc,test_acc,test_auc,test_auc,sensitivity,sensitivity,specificity,specificity
,,mean,std,count,mean,std,mean,std,mean,std
chain,metric,,,,,,,,,
ce,GOF,0.8888,0.0006,3,0.9717,0.0009,0.9534,0.0034,0.8823,0.0008
ce,LOF,0.9008,0.001,3,0.9785,0.0007,0.9448,0.0016,0.8963,0.0011
ce,standard,0.9072,0.0015,3,0.9798,0.0009,0.9341,0.0032,0.9045,0.0015
cem,GOF,0.8784,0.0017,3,0.9565,0.0005,0.9131,0.0038,0.8749,0.0022
cem,LOF,0.8823,0.0016,3,0.9647,0.0006,0.9421,0.0031,0.8764,0.0021
cem,standard,0.8865,0.0019,3,0.9696,0.0003,0.9356,0.0014,0.8815,0.0021
