chain,metric,max_acc,k_max_acc,min_acc,k_min_acc,max_auc,k_max_auc,min_auc,k_min_auc,max_sens,k_max_sens,min_sens,k_min_sens,max_spec,k_max_spec,min_spec,k_min_spec
CE,GOF,0.8924397871289844,45,0.8864047841114829,5,0.9619438905883455,15,0.956782178366572,5,0.9144538322269161,15,0.909625829812915,45,0.8907211828605914,45,0.8837960168980085,5
CE,LOF,0.9141795139079387,5,0.9087480111921874,45,0.9725690401431502,15,0.9700337561356167,5,0.9250150875075438,5,0.9188292094146047,45,0.9130959565479783,5,0.9077398913699457,45
CE,standard,0.9081033631425907,5,0.9068414988752949,35,0.9808341408989277,15,0.9801224102662067,45,0.9396499698249849,5,0.9361798430899215,35,0.90502414001207,15,0.9039076644538322,35
CEM,GOF,0.8526958816886845,40,0.851076856097196,10,0.9397559434584694,30,0.9373347665434613,10,0.8715761113605748,50,0.8646909145337525,40,0.8514965579167914,40,0.8490422029332535,10
CEM,LOF,0.8810356321682699,40,0.878872396293928,10,0.954187546460832,40,0.9524765591900192,10,0.9121389013620715,40,0.8988175422840892,10,0.8779706674648309,30,0.8768632146064053,20
CEM,standard,0.888736207670644,40,0.8868042611665148,10,0.9695270086255586,40,0.9685990609563877,10,0.9392306540936985,10,0.938033228558599,50,0.8836875187069739,40,0.8815624064651302,10
