chain,metric,max_acc,k_max_acc,min_acc,k_min_acc,max_auc,k_max_auc,min_auc,k_min_auc,max_sens,k_max_sens,min_sens,k_min_sens,max_spec,k_max_spec,min_spec,k_min_spec
CE,GOF,0.8904784111482965,1,0.8431722170406539,72,0.9619438905883455,1,0.8823453682990796,97,0.9144538322269161,1,0.5534097767048883,88,0.8958509354254677,96,0.8667018708509354,5
CE,LOF,0.9108328304164152,1,0.8628545564272783,80,0.9725690401431502,1,0.8763973859185934,97,0.9224502112251056,2,0.5503922751961376,95,0.9110742305371152,7,0.8893633071816536,33
CEM,GOF,0.8580427477177182,12,0.2787989279057428,97,0.9393967549983041,1,0.7746840562619761,98,0.9423738961233348,97,0.7678491243825775,31,0.8637982639928166,12,0.21245136186770427,97
CEM,LOF,0.8804233956000599,2,0.8203289751159848,88,0.9539250753800611,1,0.88251759614763,95,0.9095943720999851,1,0.7335728184403533,74,0.879676743489973,2,0.8278509428314875,88
