chain,metric,k,test_acc,test_auc
cem,GOF,10,0.8577570373192202,0.9203449600718528
cem,GOF,11,0.8556482224731636,0.9155286218437604
cem,GOF,12,0.8580427477177182,0.9150268706178752
cem,GOF,13,0.8578250636045768,0.9117144734152312
cem,GOF,14,0.851566645351764,0.9094994836975988
cem,GOF,15,0.846940857947511,0.9047973686116902
cem,GOF,16,0.8455803322403777,0.904947077043859
cem,GOF,17,0.856110801213589,0.9049111784700308
cem,GOF,18,0.8483149889117155,0.9021240459919285
cem,GOF,19,0.8529951973442538,0.9025751716270359
cem,GOF,20,0.8518659610073332,0.9015122996631769
cem,GOF,21,0.8521516714058313,0.9012803589463139
cem,GOF,22,0.8498659882178474,0.8988208821551473
cem,GOF,23,0.8492265411354948,0.8967594548255223
cem,GOF,24,0.8483830151970722,0.8943374177425152
cem,GOF,25,0.8507639351845553,0.8963732696343089
cem,GOF,26,0.8200296594604155,0.8913159197250008
cem,GOF,27,0.8276349981632903,0.8904458004335872
cem,GOF,28,0.8039890613733146,0.8873424755751489
cem,GOF,29,0.8167235819920817,0.8869309747885208
cem,GOF,30,0.8141657936626713,0.8879228336120142
cem,GOF,31,0.8170365029047224,0.8883255938373623
cem,GOF,32,0.8019618780696861,0.8873861257410605
cem,GOF,33,0.807975401695215,0.8850612730817906
cem,GOF,34,0.8140841621202433,0.8851200646685052
cem,GOF,35,0.8102474796261275,0.8850924116113542
cem,GOF,36,0.8050774819390213,0.8841396478714132
cem,GOF,37,0.8205194487149835,0.8814237850160616
cem,GOF,38,0.8267914722248677,0.8867121471535988
cem,GOF,39,0.7979891430048571,0.8800493843952353
cem,GOF,40,0.7860301220391559,0.8783858810859854
cem,GOF,41,0.7980299587760711,0.8796023299979873
cem,GOF,42,0.8008734575039795,0.8770384939963635
cem,GOF,43,0.7856219643270159,0.8769947956700037
cem,GOF,44,0.7874858845457885,0.8740127242591256
cem,GOF,45,0.7808193085808356,0.8720865997877086
cem,GOF,46,0.7926694874899661,0.8759641184055298
cem,GOF,47,0.8063563761037265,0.87268032626889
cem,GOF,48,0.775472442551802,0.8699826154223375
cem,GOF,49,0.7759078107780847,0.8698781050104741
cem,GOF,50,0.7733908382198882,0.8674948538881453
cem,GOF,51,0.7927647242894654,0.8693796667753972
cem,GOF,52,0.7911456986979769,0.8709264392391438
cem,GOF,53,0.785377069699732,0.870396896074816
cem,GOF,54,0.7321941198078937,0.8636133401931732
cem,GOF,55,0.7467381396171481,0.8652244001347417
cem,GOF,56,0.7479354022394253,0.8644775133492921
cem,GOF,57,0.7379491435490674,0.8641493827779404
cem,GOF,58,0.7149562590985157,0.8621132912039176
cem,GOF,59,0.7045074216677324,0.8565463858361511
cem,GOF,60,0.6941266105223058,0.8587729116610601
cem,GOF,61,0.7008203970014013,0.8573566685711325
cem,GOF,62,0.6955007414865104,0.8576911742417673
cem,GOF,63,0.7058951578890084,0.8559265384720666
cem,GOF,64,0.667854859117563,0.8515533469248837
cem,GOF,65,0.6643447027931593,0.8509059529046371
cem,GOF,66,0.6628073087440988,0.8509836009867024
cem,GOF,67,0.6607529149263275,0.8533949811706089
cem,GOF,68,0.644276948612944,0.8512590003476959
cem,GOF,69,0.6438823961578755,0.8503648344326684
cem,GOF,70,0.6058420973864301,0.8477617980665126
cem,GOF,71,0.6484537625338431,0.851857980797735
cem,GOF,72,0.5983319954830546,0.8432105394234481
cem,GOF,73,0.6182773023496279,0.8447903667545786
cem,GOF,74,0.5922504455721691,0.8412660815015451
cem,GOF,75,0.5774751363927021,0.8402829117188526
cem,GOF,76,0.5807948191181073,0.8421287404035828
cem,GOF,77,0.5418021523516687,0.832324961076278
cem,GOF,78,0.4779798914300486,0.8231247564817354
cem,GOF,79,0.4357491734806329,0.8154055931796922
cem,GOF,80,0.4218173902395886,0.7988474118418523
cem,GOF,81,0.46750384348512264,0.812031719725368
cem,GOF,82,0.42497380988013767,0.8056767414291539
cem,GOF,83,0.4143072883362131,0.8083331586117086
cem,GOF,84,0.40481081890042314,0.797538741272263
cem,GOF,85,0.4012326362906627,0.8009462732795845
cem,GOF,86,0.3637773635732847,0.7962615205951322
cem,GOF,87,0.39308308730493463,0.7966406564407924
cem,GOF,88,0.3676276513244718,0.7927448469328806
cem,GOF,89,0.3952463231792765,0.7972084143604868
cem,GOF,90,0.32300240813050163,0.7871544907870407
cem,GOF,91,0.3390974272458878,0.7908758385125976
cem,GOF,92,0.3213425667677991,0.7835522360089531
cem,GOF,93,0.3242132760098502,0.7827338567186803
cem,GOF,94,0.30522033713827024,0.7814674161417962
cem,GOF,95,0.32122011945415707,0.7794173580378959
cem,GOF,96,0.2824587420579312,0.7783116109553326
cem,GOF,97,0.2787989279057428,0.7772560828997661
cem,GOF,98,0.29379192119835107,0.7746840562619761
cem,GOF,99,0.30939715105916926,0.7803036200394236
ce,LOF,1,0.9108328304164152,0.9725690401431502
ce,LOF,2,0.9001069841444012,0.9716895907397487
ce,LOF,3,0.9003813024633786,0.9700186037527012
ce,LOF,4,0.9001618478081966,0.9677710169799563
ce,LOF,5,0.8991743018598782,0.966117294808987
ce,LOF,6,0.9036731222911066,0.9656983683548043
ce,LOF,7,0.9068963625390903,0.9648176590033906
ce,LOF,8,0.9016843144785208,0.9628990928010098
ce,LOF,9,0.8967603006528776,0.9614077957980063
ce,LOF,10,0.8933450375816097,0.9601005684357323
ce,LOF,11,0.8961293685192298,0.9594564618419908
ce,LOF,12,0.8943874471937237,0.9570876286899747
ce,LOF,13,0.8924809348768311,0.9556711216091349
ce,LOF,14,0.8923437757173424,0.9551026756333385
ce,LOF,15,0.8933587534975586,0.954300797825942
ce,LOF,16,0.8914110934328194,0.9528139021047483
ce,LOF,17,0.8924946507927799,0.9534922333025817
ce,LOF,18,0.8923712075492402,0.9519433258311605
ce,LOF,19,0.893413617161354,0.9517717623410712
ce,LOF,20,0.8928649805233994,0.9511978622813768
ce,LOF,21,0.8894497174521314,0.9496477563228221
ce,LOF,22,0.8887502057387392,0.9489584793977671
ce,LOF,23,0.8906841498875295,0.9489621317673892
ce,LOF,24,0.8906567180556317,0.948397117357317
ce,LOF,25,0.8874746255554946,0.9447625042385243
ce,LOF,26,0.8875980687990344,0.9453263543063953
ce,LOF,27,0.8839770669885335,0.9431305927123241
ce,LOF,28,0.8848686015252099,0.9405491083346778
ce,LOF,29,0.8802737696823394,0.9389773647323457
ce,LOF,30,0.8780792231305207,0.936458378101134
ce,LOF,31,0.8761178471498327,0.9344406538763694
ce,LOF,32,0.8801503264387995,0.9325356147581136
ce,LOF,33,0.8697536621495583,0.927025736902277
ce,LOF,34,0.8724282657595874,0.9247156193763295
ce,LOF,35,0.8744993690678664,0.9259766725462723
ce,LOF,36,0.8733746639600592,0.9221555768781806
ce,LOF,37,0.874129039337247,0.92236488759124
ce,LOF,38,0.8715778789707577,0.9212840035725616
ce,LOF,39,0.8737175618587809,0.923286875889817
ce,LOF,40,0.8730454819772865,0.9204576552301479
ce,LOF,41,0.8711115378284962,0.9194337579657851
ce,LOF,42,0.8705491852745927,0.9196242957949103
ce,LOF,43,0.870000548636638,0.919941870983873
ce,LOF,44,0.8712075492401382,0.9176839690269951
ce,LOF,45,0.8701514237120755,0.9187978461558632
ce,LOF,46,0.8705491852745927,0.9193370378915878
ce,LOF,47,0.8681763318154386,0.9186419221830613
ce,LOF,48,0.8680803204037966,0.9177662309985727
ce,LOF,49,0.8703708783672574,0.9202296171597316
ce,LOF,50,0.8708509354254678,0.9188693832041168
ce,LOF,51,0.871440719811269,0.9191243149615993
ce,LOF,52,0.8693559005870412,0.9198821662929239
ce,LOF,53,0.8696439348219674,0.9197171802550144
ce,LOF,54,0.8701377077961266,0.9187222583804412
ce,LOF,55,0.8701651396280243,0.9199675980524095
ce,LOF,56,0.8707274921819279,0.919771054129643
ce,LOF,57,0.873909584682065,0.9204286559389055
ce,LOF,58,0.8735941186152412,0.9212823179510563
ce,LOF,59,0.8763235858890657,0.9206248948336075
ce,LOF,60,0.8755966423437758,0.9200934585502372
ce,LOF,61,0.8759944039062929,0.9197832370415884
ce,LOF,62,0.8748696987984858,0.9190588830272916
ce,LOF,63,0.8752263126131563,0.918346120079442
ce,LOF,64,0.8733060843803149,0.9134358636610141
ce,LOF,65,0.872263674768201,0.9112576537004549
ce,LOF,66,0.8700279804685357,0.9078205849509534
ce,LOF,67,0.8726340044988204,0.9096251025258512
ce,LOF,68,0.8707686399297745,0.9036190316478908
ce,LOF,69,0.8688895594447797,0.9034281432641245
ce,LOF,70,0.8679020134964613,0.8993218930205572
ce,LOF,71,0.8696165029900697,0.896684582816303
ce,LOF,72,0.8662972513304439,0.8968588619666971
ce,LOF,73,0.8692598891753991,0.8983170565957266
ce,LOF,74,0.8699319690568936,0.9003190923621336
ce,LOF,75,0.8685603774620069,0.8987396058272561
ce,LOF,76,0.8679568771602567,0.8982965047608051
ce,LOF,77,0.8685466615460581,0.8989801386666686
ce,LOF,78,0.8682037636473364,0.8988398325860298
