,,test_acc,test_acc,test_acc,test_auc,test_auc,sensitivity,sensitivity,specificity,specificity
,,mean,std,count,mean,std,mean,std,mean,std
chain,metric,,,,,,,,,
ce,GOF,0.8561,0.0091,99,0.9068,0.0161,0.6155,0.077,0.8802,0.009
ce,LOF,0.8774,0.0117,99,0.9212,0.0267,0.6683,0.1097,0.8983,0.0041
cem,GOF,0.6834,0.1882,99,0.8623,0.044,0.8196,0.0488,0.6698,0.2115
cem,LOF,0.8521,0.0126,99,0.9164,0.0195,0.7831,0.0406,0.859,0.0125
