,,test_acc,test_acc,test_acc,test_auc,test_auc,sensitivity,sensitivity,specificity,specificity
,,mean,std,count,mean,std,mean,std,mean,std
chain,metric,,,,,,,,,
ce,GOF,0.8902,0.0023,5,0.9606,0.0022,0.9119,0.0018,0.888,0.0026
ce,LOF,0.9108,0.0021,5,0.9716,0.001,0.9218,0.0022,0.9097,0.0021
ce,standard,0.9074,0.0006,5,0.9804,0.0003,0.9377,0.0015,0.9044,0.0006
cem,GOF,0.852,0.0007,5,0.939,0.001,0.8692,0.0028,0.8503,0.0009
cem,LOF,0.8802,0.0008,5,0.9537,0.0007,0.9079,0.0053,0.8774,0.0005
cem,standard,0.888,0.0008,5,0.9692,0.0004,0.9387,0.0006,0.883,0.0009
